,uniq_id,product_name_FK,retail_price_FK,discounted_price_at_FK,product_name_AMZ,retail_price_AMZ,discounted_price_at_AMZ
0,c2d766ca982eca8304150849735ffef9,Alisha Solid Women's Cycling Shorts,999,379,Alisha Solid Women's Cycling Shorts,982,438
2,f449ec65dcbc041b6ae5e6a32717d01b,AW Bellies,999,499,AW Bellies,991,551
3,0973b37acd0c664e3de26e97e5571454,Alisha Solid Women's Cycling Shorts,699,267,Alisha Solid Women's Cycling Shorts,694,325
4,ce5a6818f7707e2cb61fdcdbba61f5ad,Alisha Solid Women's Cycling Shorts,1199,479,Alisha Solid Women's Cycling Shorts,1198,602
6,29c8d290caa451f97b1c32df64477a2c,"dilli bazaaar Bellies, Corporate Casuals, Casuals",699,349,"dilli bazaaar Bellies, Corporate Casuals, Casuals",682,385
7,4044c0ac52c1ee4b28777417651faf42,Alisha Solid Women's Cycling Shorts,1199,479,Alisha Solid Women's Cycling Shorts,1197,542
8,e54bc0a7c3429da2ebef0b30331fe3d2,Ladela Bellies,1724,950,Ladela Bellies,1705,1119
9,c73e78fb440ff8972e0762daed4fc109,Carrel Printed Women's,2299,910,Carrel Printed Women's,2281,1080
10,9aacdecceb404c74abddc513fd2756a8,Alisha Solid Women's Cycling Shorts,999,379,Alisha Solid Women's Cycling Shorts,990,479
11,d95b0456a0350bc42f2393c6e84b0f09,Alisha Solid Women's Cycling Shorts,999,379,Alisha Solid Women's Cycling Shorts,995,434
13,c275ee5ac19f774a3ef7da71b40aabd8,Style Foot Bellies,899,449,Style Foot Bellies,894,514
14,4f3511c33a6869b1d5102cd97818ef00,Carrel Printed Women's,2499,999,Carrel Printed Women's,2482,1156
16,7a7ba93ab20a2b50fd5a7dc74bcba063,dongli Printed Boy's Round Neck T-Shirt,2400,1039,DONGLI PRINTED BOY'S ROUND NECK T-SHIRT,2382,1254
17,bb41283056536d7af11e994ba4f9db81,Glus Wedding Lingerie Set,1299,699,GLUS WEDDING LINGERIE SET,1295,869
20,171e0bcea390c17fd70e3ffa6c2cd187,FDT Women's Leggings,699,309,FDT WOMEN'S Leggings Pants,698,362
24,6286847ee2da18f587503db49511c539,Shopmania Music Band A5 Notebook Spiral Bound,499,275,SHOPMANIA MUSIC BAND A5 NOTEBOOK SPIRAL BOUND,483,347
25,0686fec9b70e5039583a38119ca0c835,Shopmania Music Band A5 Notebook Spiral Bound,499,275,SHOPMANIA MUSIC BAND A5 NOTEBOOK SPIRAL BOUND,487,330
26,5935ed077915347dc695744df68c565c,KAJCI Embroidered Women's Waistcoat,1200,699,KAJCI EMBROIDERED WOMEN'S WAISTCOAT,1183,822
